中文單位名稱,英文單位名稱,郵遞區號,地址,電話,Lng,Lat
港埔派出所,Gangpu Police Station,832,高雄市林園區沿海路4段326號,07 6413695,120.376970, 22.504623
林園派出所,Linyuan Police Station,832,高雄市林園區林園北路201號,07 6412013,120.394270, 22.509085
湖內分局,HuNei Precinct,829,高雄市湖內區中山路1段290號,07 6932155,120.244692, 22.886909
竹滬派出所,Jhuhu Police Station,821,高雄市路竹區華山路31號,07 6981824,120.229126, 22.861659
崇德派出所,Chongde Police Station,823,高雄市田寮區崇德路49號,07 6366774,120.380399, 22.877539
砂崙派出所,Shalun Police Station,852,高雄市茄定區白砂路239巷2弄9號,07 6900055,120.184490, 22.913519
蛙潭派出所,Watan Police Station,823,高雄市田寮區七星路11號,07 6361192,120.406617, 22.830624
古亭派出所,Guting Police Station,823,高雄市田寮區古亭路39號,07 6367058,120.402129, 22.893164
湖街派出所,Hujie Police Station,829,高雄市湖內區中山路1段290之1號,07 6934784,120.244412, 22.887028
阿蓮分駐所,Alian Police Station,822,高雄市阿蓮區忠孝路226號,07 6312029,120.328934, 22.879070
田寮分駐所,Tianliao Police Station,823,高雄市田寮區崗安路71-2號,07 6361878,120.359467, 22.870581
茄萣分駐所,Cieding Police Station,852,高雄市茄萣區茄萣路2段1號,07 6902272,120.183281, 22.897361
路竹分駐所,Lujhu Police Station,821,高雄市路竹區國昌路86巷24號,07 6962615,120.259297, 22.855324
湖內派出所,Hunei Police Station,829,高雄市湖內區中正路2段95號,07 6993229,120.210914, 22.908178
一甲派出所,Yijia Police Starion,821,高雄市路竹區金平路356號,07 6962954,120.267768, 22.869708
仁武分局,Renwu Precinct,814,高雄市仁武區中正路135號,07 3719421,120.349036, 22.701895
溪埔派出所,Sipu Police Station,840,高雄市大樹區溪埔路65號,07 6561044,120.444409, 22.727818
大樹分駐所,Dashu Police Station,840,高雄市大樹區中興南路15號,07 6512439,120.433383, 22.690526
仁武派出所,Renwu Police Station,814,高雄市仁武區中正路135號,07 3711432,120.349036, 22.701895
大社分駐所,Dashe Police Station,815,高雄市大社區金龍路63號,07 3511369,120.354083, 22.729152
九曲派出所,Jioucyu Police Station,840,高雄市大樹區久堂路130號,07 6512027,120.418010, 22.658150
仁美派出所,Renmei Police Station,833,高雄市鳥松區仁德路16號,07 7314057,120.394195, 22.650209
大華派出所,Dahua Police Station,833,高雄市鳥松區澄清路821號,07 3701994,120.347701, 22.650096
鳥松分駐所,Niaosong Police Station,833,高雄市鳥松區中正路96號之1,07 7326240,120.364450, 22.659557
澄觀派出所,Chengguan Police Station,814,高雄市仁武區八德西路189號,07 3718188,120.330511, 22.677834
