中文單位名稱	英文單位名稱	郵遞區號	地址	電話	Lng	Lat
鹽埕分局	Yancheng Precinct	803	高雄市鹽埕區建國四路337號	07 5513424	176316.0842	2503619.592
建國四路派出所	Gianguo 4th Rd.Police Station	803	高雄市鹽埕區建國四路337號	07 5512832	176316.0842	2503619.592
五福四路派出所	Wufu 4th Rd.Police Station	803	高雄市鹽埕區五福四路107號	07 5512968	176521.7058	2502671.154
七賢路派出所	Cisian Rd.Police Station	803	高雄市鹽埕區七賢三路170號	07 5513534	176296.2546	2503198.221
鼓山分局	Gushan Precinct	804	高雄市鼓山區鼓山一路105號	07 5514005	175798.9523	2503125.963
中洲派出所	Jhongjhou Police Station	805	高雄市旗津區中洲二路66號	07 5712328	177780.312	2497369.156
旗津分駐所	Cijin Police Station	805	高雄市旗津區廟前路137號	07 5715492	174858.7586	2501732.916
新濱派出所	Sinbin Police Station	804	高雄市鼓山區臨海三路2號	07 5514863	175498.8625	2502644.844
鼓山派出所	Gushan Police Station	804	高雄市鼓山區鼓山二路81號	07 5512673	176238.9312	2504006.925
內惟派出所	Neiwei Police Station	804	高雄市鼓山區九如四路1139號	07 5826970	175927.581	2506758.706
龍華派出所	Longhua Police Station	804	高雄市鼓山區中華一路301號	07 5551802	177330.8269	2506863.955
楠梓分局	Nanzih Precinct	811	高雄市楠梓區外環西路119號	07 3653190	178078.3723	2513219.804
翠屏派出所	Cueiping Police Station	811	高雄市楠梓區德祥路147號	07 3649783	179068.0712	2514176.802
楠梓派出所	Nanzih Police Station	811	高雄市楠梓區旗楠路160號	07 3511145	181044.7434	2514700.181
後勁派出所	Houjin Police Station	811	高雄市楠梓區後昌路214號	07 3612554	179043.8632	2512946.141
右昌派出所	Youchang Police Station	811	高雄市楠梓區右昌街250號	07 3612977	177019.3141	2512605.012
加昌派出所	Jiachang Police Station	811	高雄市楠梓區外環西路119號	07 3655961	178078.3723	2513219.804
三民第二分局	Sanmin Second Precinct	807	高雄市三民區覺民路366號	07 3814093	181518.6915	2504660.626
鼎山派出所	Dinshan Police Station	807	高雄市三民區鼎山街260號	07 3907880	180292.5273	2506707.995
陽明派出所	Yangming Police Station	807	高雄市三民區義華路272號	07 3922032	181932.5117	2504966.112
鼎金派出所	Dingjin Police Station	807	高雄市三民區鼎力路125號	07 3426730	180312.9226	2507541.303
民族派出所	Minzu Police Station?	807	高雄市三民區民族一路208號	07 3822653	179614.6531	2505451.675
覺民派出所	Jyuemin Rd. Police Station?	807	高雄市三民區覺民路366號	07 3842108	181518.6915	2504660.626
六龜分局	Liouquei  Precinct	844	高雄市六龜區中興里中庄153號	07 6891119	212462.45	2544068.945
高中派出所	Gaojhong Police Station	848	高雄市桃源區興中巷90號	07 6881385	221208.674	2558750.06
拉芙蘭派出所	La Fulan Police Station	848	高雄市桃源區梅蘭里113號	07 6866087	230850.717	2570886.709
復興派出所	Senshan Police Station	848	高雄市桃源區復興里復興巷1號	07 6866087	230850.717	2570886.709
梅山派出所	Meishan Police Station	848	高雄市桃源區梅山里52號	07 6866170	232199.96	2573561.366
茂林分駐所	Maolin Police Station	851	高雄市茂林區茂林里茂林巷13號	07 6801200	215546.4043	2531769.526
萬山派出所	Wanshan Police Station	851	高雄市茂林區萬山里1號	07 6801203	217226.6049	2534307.646
多納派出所	Duona Police Station	851	高雄市茂林區多納里1號	07 6801208	220854.4507	2534361.937
那瑪夏分駐所	Namasia Police Station	849	高雄市那瑪夏區瑪雅里平和巷89號	07 6701168	218956.0011	2570604.028
達卡努瓦派出所	Dakanuwa Police Station	849	高雄市那瑪夏區民生里秀嶺巷87號	07 6701118	221306.5932	2573957.832
森濤派出所	Sentao Police Station	848	高雄市桃源區寶山里藤枝78號	07 6892474	224898.1753	2551783.662
寶山派出所	Baoshan Police Station	848	高雄市桃源區寶山里16號	07 6892464	220177.8498	2548356.207
義寶派出所	Yibao Police Station	844	高雄市六龜區民生路1號	07 6891049	212462.6378	2544068.622
桃源分駐所	Taoyuan Police Station	848	高雄市桃源區桃源里南進巷183號	07 6861176	225811.994	2561855.993
新威派出所	Sinwei Police Station	844	高雄市六龜區新威路127號	07 6871176	211911.6797	2533553.181
荖濃派出所	Laonong Police Station	844	高雄市六龜區裕濃路18號	07 6881014	216445.69	2552203.829
寶來派出所	Baolai Police Station	844	高雄市六龜區中正路21號	07 6881170	219138.293	2556222.682
建山派出所	Jianshan Police Station	848	高雄市桃源區建山巷61號	07 6881170	217582.96	2556228.04
岡山分局	Gangshan Precince	820	高雄市岡山區壽天路10號	07 6212025	177649.7194	2521932.654
深水派出所	Shenshuei  Police Station	824	高雄市燕巢區深興路88號	07 6152054	187361.02	2519218.34
舊港派出所	Jiougang  Police Station	827	高雄市彌陀區舊港橫路1號	07 6196994	171072.0455	2522266.563
甲圍派出所	Jiawei  Police Station	825	高雄市橋頭區甲樹路1170號	07 6110384	177776.8279	2515794.22
鳳雄派出所	Fongsyong  Police Station	824	高雄市燕巢區鳳旗路171號	07 6153054	183835.7175	2517165.698
永安分駐所	Yong-an  Police Station	828	高雄市永安區永安路22號	07 6912044	170505.7549	2524426.702
燕巢分駐所	Yanchao  Police Station	824	高雄市燕巢區中民路585號	07 6161402	184509.08	2521507.32
橋頭分駐所	Ciaotou  Police Station	825	高雄市橋頭區成功路156號	07 6113555	179194.14	2517633.92
梓官分駐所	Zihguan  Police Station	826	高雄市梓官區梓官路267號	07 6171403	174704.9435	2517954.16
彌陀分駐所	Mituo  Police Station	827	高雄市彌陀區中華路16號	07 6176405	172969.93	2520261.71
赤崁派出所	Chihkan  Police Station	826	高雄市梓官區赤崁西路12號	07 6101404	172674.4974	2515489.882
嘉興派出所	Jiasing  Police Station	820	高雄市岡山區嘉興路251號	07 6216401	178492.59	2524714.08
前峰派出所	Cianfong Police Station	820	高雄市岡山區中華路53號	07 6265134	176883.11	2521613.68
壽天派出所	Shoutian Police Station	820	高雄市岡山區大仁北路5號	07 6216400	178343.3453	2522523.55
旗山分局	Cishan Precinct	842	高雄市旗山區華中街1號	07 6612001	196958.8194	2531968.306
旗尾派出所	Ciwei Police Station	842	高雄市旗山區延平二路21號	07 6614306	197978.297	2531308.399
廣興派出所	Guangsing Police Station	843	高雄市美濃區民族路100號	07 6812794	205334.196	2534803.914
廣福派出所	Guangfu Police Station	842	高雄市旗山區旗屏二路18號	07 6613260	199145.3027	2528564.582
里關派出所	Liguan Police Station	847	高雄市甲仙區中興路44巷10號	07 6752006	209685.4708	2556694.327
杉林分駐所	Shanlin Police Station	846	高雄市杉林區上平里山仙路87之1號	07 6771154	202984	2541542
中埔派出所	Jhongpu Police Station	845	高雄市內門區中埔里中埔36號	07 6673308	193674.6942	2535510.135
嶺口派出所	Lingkou Police Station	842	高雄市旗山區旗南三路212號	07 6651021	193485.237	2519323.774
圓潭派出所	Yuantan Police Station	842	高雄市旗山區旗甲路3段165號	07 6691307	199048.74	2536918.822
茄興派出所	Jiasing Police Station	846	高雄市杉林區木梓里茄苳巷144號	07 6779274	203298.326	2546726.298
甲仙分駐所	Jiasian Police Station	847	高雄市甲仙區和安街42號	07 6751204	207950.28	2553551.732
溝坪派出所	Gouping Police Station	845	高雄市內門區永興里頂庄9號	07 6601670	198728.512	2542375.404
內門分駐所	Neimen Police Station	845	高雄市內門區內門里內門114號	07 6671309	194868.8304	2537889.722
吉東派出所	Jidong Police Station	843	高雄市美濃區中正路3段416號	07 6831744	202179.9893	2528266.136
美濃分駐所	Meinong Police Station	843	高雄市美濃區美中路262號	07 6812029	203006.6932	2532675.02
中壇派出所	Jhongtan Police Station	843	高雄市美濃區中興路1段636號	07 6812789	202183.531	2531749.283
大洲派出所	Dajhuo Police Station	842	高雄市旗山區旗南二路39號	07 6661305	195205.457	2527514.084
龍肚派出所	Longdu Police Station	843	高雄市美濃區龍肚街63號	07 6851797	206129.0123	2531225.765
建國派出所	Jianguo Police Station	842	高雄市旗山區華中街1號	07 6612045	196958.8194	2531968.306
鳳山分局	Fongshan Precinct	830	高雄市鳳山區經武路36號	07 7456110	184505.81	2503187.85
文山派出所	Wunshan Police Station	830	高雄市鳳山區鳳松路127號	07 7324340	184588.75	2504695.96
新甲派出所	Sinjia Police Station	830	高雄市鳳山區新富路383號	07 7636944	182996.3883	2501892.361
埤頂派出所	Piding Police Station	830	高雄市鳳山區中山東路497號	07 7013272	186330.97	2503300.36
忠孝派出所	Jhongsiao Police Station	830	高雄市鳳山區光復路2段188號	07 7402658	182348.79	2503429.46
五甲派出所	Wujia Police Station	830	高雄市鳳山區五甲二路472號	07 7615839	181616.2808	2499871.435
鳳崗派出所	Fonggang Police Station	830	高雄市鳳山區曹公路23號	07 7412244	183922.1898	2503120.601
成功派出所	Chenggong Police Station	830	高雄市鳳山區中山東路16號	07 7462453	184704.9094	2502367.536
過埤派出所	Guopi Police Station	830	高雄市鳳山區保生路69號	07 7923028	184191.87	2499306.05
南成派出所	Nancheng Police Station	830	高雄市鳳山區和成路37、39號	07 7928393	181904.259	2498956.76
林園分局	Linyuan Precinct	832	高雄市林園區林園北路201號	07 6412004	187682.1313	2490050.433
昭明派出所	Jhaoming Police Station	831	高雄市大寮區鳳林一路287號	07 6411903	188910.79	2494015.48
大寮分駐所	 Daliao  Police Station	831	高雄市大寮區鳳林三路377號	07 7816335	188009.31	2500368.19
忠義派出所	Jhongyi Police Station	831	高雄市大寮區鳳林四路353號	07 7817429	186517.4467	2502269.211
中庄派出所	JhongJhuang Police Station	831	高雄市大寮區仁愛路101號	07 7016714	187877.1431	2503973.179
中芸派出所	Jhongyun Police Station	832	高雄市林園區力行路250號	07 6412792	188306.096	2487475.196
港埔派出所	Gangpu Police Station	832	高雄市林園區沿海路4段326號	07 6413695	185900.236	2489563.732
林園派出所	Linyuan Police Station	832	高雄市林園區林園北路201號	07 6412013	187682.1313	2490050.433
湖內分局	HuNei Precinct	829	高雄市湖內區中山路1段290號	07 6932155	172505.679	2531958.99
竹滬派出所	Jhuhu Police Station	821	高雄市路竹區華山路31號	07 6981824	170893.9442	2529171.068
崇德派出所	Chongde Police Station	823	高雄市田寮區崇德路49號	07 6366774	186425.282	2530856.391
砂崙派出所	Shalun Police Station	852	高雄市茄定區白砂路239巷2弄9號	07 6900055	166345.0897	2534938.726
蛙潭派出所	Watan Police Station	823	高雄市田寮區七星路11號	07 6361192	189094.542	2525650.206
古亭派出所	Guting Police Station	823	高雄市田寮區古亭路39號	07 6367058	188661.978	2532577.441
湖街派出所	Hujie Police Station	829	高雄市湖內區中山路1段290之1號	07 6934784	172477.0727	2531972.25
阿蓮分駐所	Alian Police Station	822	高雄市阿蓮區忠孝路226號	07 6312029	181145.2467	2531049.079
田寮分駐所	Tianliao Police Station	823	高雄市田寮區崗安路71-2號	07 6361878	184274.14	2530095.1
茄萣分駐所	Cieding Police Station	852	高雄市茄萣區茄萣路2段1號	07 6902272	166211.078	2533149.995
路竹分駐所	Lujhu Police Station	821	高雄市路竹區國昌路86巷24號	07 6962615	173986.6524	2528453.714
湖內派出所	Hunei Police Station	829	高雄市湖內區中正路2段95號	07 6993229	169052.609	2534332.408
一甲派出所	Yijia Police Starion	821	高雄市路竹區金平路356號	07 6962954	174863.9729	2530042.258
仁武分局	Renwu Precinct	814	高雄市仁武區中正路135號	07 3719421	183121.53	2511420.32
溪埔派出所	Sipu Police Station	840	高雄市大樹區溪埔路65號	07 6561044	192930.87	2514250.98
大樹分駐所	Dashu Police Station	840	高雄市大樹區中興南路15號	07 6512439	191782.58	2510125.86
仁武派出所	Renwu Police Station	814	高雄市仁武區中正路135號	07 3711432	183121.53	2511420.32
大社分駐所	Dashe Police Station	815	高雄市大社區金龍路63號	07 3511369	183653.21	2514436.38
九曲派出所	Jioucyu Police Station	840	高雄市大樹區久堂路130號	07 6512027	190188.92	2506546.93
仁美派出所	Renmei Police Station	833	高雄市鳥松區仁德路16號	07 7314057	187737.8568	2505677.323
大華派出所	Dahua Police Station	833	高雄市鳥松區澄清路821號	07 3701994	182959.1777	2505685.052
鳥松分駐所	Niaosong Police Station	833	高雄市鳥松區中正路96號之1	07 7326240	184685.11	2506725.288
澄觀派出所	Chengguan Police Station	814	高雄市仁武區八德西路189號	07 3718188	181206.2889	2508764.372
